user,completed,rating,status,pattern_id,average_rating,rating_count,attributes,categories
AncientSprout,30,34,34,34,34,34,34,34
Andihales,1,1,1,1,1,1,1,1
Andrenabee,46,48,48,48,48,45,48,48
Andreotti,11,12,12,12,12,12,12,12
Anemone68,12,12,12,12,12,5,12,12
AngCar26,0,1,1,1,1,1,1,1
Angel44,22,30,30,30,30,27,30,30
AngiePenrose,2,4,4,4,4,4,4,4
Angrea,2,6,6,6,6,5,6,6
Ani25,2,2,2,2,2,2,2,2
Aniisha,1,1,1,1,1,1,1,1
Aninha87,1,1,1,1,1,1,1,1
Ankinsilmukat,0,1,1,1,1,1,1,1
AnnTyre,1,1,1,1,1,1,1,1
AnnaCassandra,5,7,7,7,7,7,7,7
AnnaGoddessKnits,166,171,171,171,171,158,171,171
AnnaGraceM,9,9,9,9,9,9,9,9
AnnaLapin,27,31,31,31,31,27,31,31
AnnaPaulBlog,19,22,21,22,22,19,22,22
AnnaToresson,1,3,3,3,3,3,3,3
Anne-Mie,1,4,3,4,4,4,4,4
AnneNoJu,3,4,4,4,4,4,4,4
AnneV,16,22,21,22,22,21,22,22
Annemariegaron,1,2,1,2,2,1,2,2
AnneofGreenCables,1,1,1,1,1,1,1,1
Annetterichards,3,4,4,4,4,4,4,4
Annie97,180,206,205,206,206,200,206,206
AnnieLucia,2,3,3,3,3,3,3,3
AnnikaSoderberg,9,14,14,14,14,11,14,14
Annizhan,4,5,5,5,5,4,5,5
Annkari,82,126,126,126,126,120,126,126
Annochka,2,2,2,2,2,2,2,2
AnotherSockMonkey,8,12,12,12,12,12,12,12
Antonia1959,11,14,14,14,14,14,14,14
AnythingButLiz,0,1,1,1,1,1,1,1
Aoibh10,62,62,62,62,62,61,62,62
April601,14,22,22,22,22,22,22,22
AprilPrey,8,16,16,16,16,15,16,16
Aquarius31,2,2,2,2,2,2,2,2
ArcheanPaleocat,1,1,1,1,1,1,1,1
Arkazia1907,3,3,3,3,3,0,3,3
Arls67,7,8,8,8,8,7,8,8
Artesanatoliane,1,2,2,2,2,1,2,2
AshleyGrace,1,1,1,1,1,1,1,1
Ashleyzazu,0,1,1,1,1,1,1,1
Asterionella,18,19,19,19,19,15,19,19
Astridios,1,1,1,1,1,0,1,1
Atlahuilli,0,1,1,1,1,1,1,1
Atopbing,842,862,862,862,862,815,862,862
AudiophilesWife,18,18,18,18,18,17,18,18
Audra,11,12,12,12,12,11,12,12
AudreyClaire,1,2,2,2,2,1,2,2
AudreyNorcross,0,3,3,3,3,3,3,3
AupaysdeNanouch,39,45,45,45,45,32,45,45
AussieCole,12,12,12,12,12,12,12,12
Australia2011,4,7,7,7,7,7,7,7
AvAvocado,4,5,5,5,5,5,5,5
Avery150259,2,2,2,2,2,2,2,2
AvidCrafter2012,0,1,1,1,1,1,1,1
AwkwardDarcy,0,2,2,2,2,1,2,2
AwkwardKatalyst,13,20,20,20,20,17,20,20
Awulff2084,0,1,1,1,1,1,1,1
AymeeLynn,1,1,1,1,1,1,1,1
Aymelle,4,5,5,5,5,5,5,5
AzureDaze,9,13,13,13,13,13,13,13
B1B1,6,11,11,11,11,11,11,11
BCRomero,2,2,2,2,2,2,2,2
BRunagerC,24,28,28,28,28,26,28,28
Bagi26,4,6,6,6,6,6,6,6
Bailey1121,0,1,1,1,1,1,1,1
BalletGurl,1,2,2,2,2,2,2,2
BarbR,284,284,284,284,284,271,284,284
BarbSkates,395,398,398,398,398,380,398,398
Barkelby,16,20,20,20,20,20,20,20
Barsine,9,11,11,11,11,10,11,11
Bea2006,1,10,10,10,10,10,10,10
Beaddict,1,1,1,1,1,1,1,1
BeamMeUp,1,2,2,2,2,2,2,2
Bearette24,14,103,103,103,103,99,103,103
BearyCreative1,1,1,1,1,1,0,1,1
BeauBeauPantoufle,23,24,24,24,24,19,24,24
BeauportStitches,1,1,1,1,1,1,1,1
BeccaVB,67,69,69,69,69,69,69,69
BecciBarlow,4,7,7,7,7,7,7,7
BeckyPellet,1,1,1,1,1,1,1,1
BedShaped,1,1,1,1,1,1,1,1
BeeBuzzKnitter,1,1,1,1,1,1,1,1
BeeRocker,17,19,19,19,19,18,19,19
Berenikahansson,0,2,2,2,2,2,2,2
Berinjela,1,1,1,1,1,1,1,1
Beshaba,1,2,2,2,2,1,2,2
Bethyblue,0,1,1,1,1,1,1,1
Bettinalizzette,0,1,1,1,1,1,1,1
Bettycaterpillar,2,3,3,3,3,1,3,3
Bewitchin,1,2,2,2,2,2,2,2
Bgawinski,77,86,85,86,86,85,86,86
Biberbaue,3,5,5,5,5,5,5,5
Bibi1234,2,2,2,2,2,2,2,2
BiblioMo,5,6,6,6,6,6,6,6
Biene17,1,1,1,1,1,1,1,1
BieneM,0,1,1,1,1,1,1,1
Biff332004,2,2,2,2,2,2,2,2
Bill,47,48,48,48,48,46,48,48
BiologyJAP,1,1,1,1,1,1,1,1
BirdiBlu,2,2,2,2,2,2,2,2
BlackAgate,1,1,1,1,1,0,1,1
BlazingNeedles,19,58,58,58,58,57,58,58
Bleuframboise06,9,9,9,9,9,6,9,9
Bloodthreadshears,14,16,16,16,16,16,16,16
Bloodykel,1,2,2,2,2,1,2,2
BlueDoorHouse5,8,11,11,11,11,10,11,11
BlueRosebud,21,50,50,50,50,50,50,50
BlueTara,125,125,125,125,125,122,125,125
Blueginkgo,2,5,5,5,5,5,5,5
Bob95116,1,1,1,1,1,1,1,1
Bobberino,1,6,6,6,6,6,6,6
BobbiMorgan,15,22,22,22,22,22,22,22
Bobcobo,3,4,4,4,4,3,4,4
Bodhiknits,3,4,4,4,4,4,4,4
BonitaBeckita,2,4,4,4,4,4,4,4
Bonitapearlknit,1,1,1,1,1,1,1,1
BookMoot,23,38,38,38,38,38,38,38
Bookmouse2,33,33,33,33,33,30,33,33
BoredChipBag,11,17,17,17,17,5,17,17
Bramisole,0,3,2,3,3,3,3,3
Brewergnome,9,9,9,9,9,9,9,9
BriBratt93,0,1,1,1,1,0,1,1
BridgeAndRiver,14,20,20,20,20,20,20,20
BrinaBee,58,68,68,68,68,67,68,68
Brookiebee,1,1,1,1,1,1,1,1
Brownbabyknits,3,3,3,3,3,3,3,3
BrynjaDG,0,1,1,1,1,0,1,1
BsquaredS,21,22,22,22,22,20,22,22
Btts,15,34,33,34,34,31,34,34
BuManu,1,1,1,1,1,0,1,1
Bubune,6,6,6,6,6,5,6,6
Buckfast,49,49,49,49,49,47,49,49
BuffaloDharma,143,167,166,167,167,165,167,167
Buffye,3,4,4,4,4,4,4,4
Bugalaga,1,1,1,1,1,1,1,1
BumbleBob,0,1,1,1,1,1,1,1
BunnyKnits23,39,42,42,42,42,41,42,42
Bunnypeeps,8,10,10,10,10,8,10,10
ButterflyJulie,0,1,1,1,1,1,1,1
Bzzrbee1,0,1,1,1,1,1,1,1
CAROLSUE,48,51,51,51,51,50,51,51
CAnneA,10,11,11,11,11,10,11,11
CCooker,0,1,1,1,1,1,1,1
CDG0rdon,4,4,4,4,4,4,4,4
CKidwell,124,131,131,131,131,127,131,131
CWnerd12,1,13,13,13,13,13,13,13
CablesNCats,15,16,16,16,16,16,16,16
CaitlinKnits,16,55,55,55,55,50,55,55
CalculatingCabler,22,74,74,74,74,74,74,74
Calonganu,2,2,2,2,2,2,2,2
Calypsobard,5,7,7,7,7,6,7,7
CamBorr,3,3,3,3,3,3,3,3
Camby62245,4,4,4,4,4,4,4,4
Camillina,127,129,129,129,129,120,129,129
Cammie,1,1,1,1,1,1,1,1
Campanule33,12,14,14,14,14,13,14,14
CanineWild,1,1,1,1,1,1,1,1
Cantano,6,6,6,6,6,6,6,6
Cantrix,6,21,21,21,21,19,21,21
Capall,1,4,4,4,4,4,4,4
Caremel,1,2,2,2,2,2,2,2
CaritaManas,5,8,8,8,8,7,8,8
Carla517,4,5,5,5,5,3,5,5
Carmknits2014,1,1,1,1,1,1,1,1
Carofoliz,110,120,120,120,120,79,120,120
CarolinCacao1573,2,2,2,2,2,1,2,2
CarolineDB,1,1,1,1,1,1,1,1
CarolineElliam,28,34,34,34,34,31,34,34
Carolineva79,1,3,3,3,3,3,3,3
Carolknitcrazy,5,7,7,7,7,7,7,7
Carosd,4,5,5,5,5,3,5,5
CarrollLewis,12,13,13,13,13,11,13,13
Casey9568,2,2,2,2,2,2,2,2
Caslindy,1,1,1,1,1,1,1,1
CatAteMyYarns,0,1,1,1,1,1,1,1
Cataspencer,1,3,3,3,3,3,3,3
Catmck27,0,1,1,1,1,1,1,1
Catnis,12,15,15,15,15,15,15,15
Cbarnett23,0,1,1,1,1,1,1,1
Ccamval,1,1,1,1,1,1,1,1
Cecily1990,1,1,1,1,1,1,1,1
Cedecia01,29,33,33,33,33,32,33,33
CelestialGmom,161,163,163,163,163,161,163,163
Celfinn,3,3,3,3,3,3,3,3
CeliacMom3,1,2,2,2,2,2,2,2
Cellotina,1,1,1,1,1,1,1,1
Chaka97,5,5,5,5,5,5,5,5
Chama,8,11,11,11,11,11,11,11
Chantalu,6,7,7,7,7,7,7,7
ChaoticAnxious,1,4,4,4,4,3,4,4
ChaoticChris,66,70,70,70,70,70,70,70
Char321,51,54,54,54,54,54,54,54
CharleneSt,2,2,2,2,2,2,2,2
CharlyandRose,2,4,4,4,4,4,4,4
Chattycathy23,0,1,0,1,1,1,1,1
CheerMommie,1,2,2,2,2,2,2,2
CheerfulOtter,13,21,21,21,21,21,21,21
Chelliev,1,1,1,1,1,1,1,1
ChelseyHybrid,2,6,6,6,6,5,6,6
ChesaSketch,2,3,3,3,3,2,3,3
Chickenbutt723,165,166,166,166,166,162,166,166
Cholulita,2,3,3,3,3,3,3,3
Chonita,135,138,138,138,138,133,138,138
Chopsaw,19,21,21,21,21,21,21,21
Chraymond,17,20,20,20,20,16,20,20
Chrissyteenychan,335,365,365,365,365,348,365,365
Christel27,1,2,2,2,2,2,2,2
ChristineMorita,4,4,4,4,4,4,4,4
ChristineOlea,143,145,145,145,145,143,145,145
Chuckanucka,8,8,8,8,8,8,8,8
ChunkieLola,1,2,2,2,2,2,2,2
ChuyB,5,5,5,5,5,5,5,5
CiCicarry,33,37,37,37,37,36,37,37
Cigalecreations83,1,2,2,2,2,2,2,2
Cileia,0,2,2,2,2,2,2,2
Cinole,4,10,9,10,10,10,10,10
Cknitmartin,10,10,10,10,10,9,10,10
Claire06,61,73,73,73,73,73,73,73
Claireloulou,28,35,35,35,35,35,35,35
ClaudiaGraefe,3,3,3,3,3,3,3,3
ClaudiaPorta,1,1,1,1,1,1,1,1
ClaudiaS,67,72,72,72,72,52,72,72
Clevachloe,3,3,3,3,3,3,3,3
Clio-13,42,42,42,42,42,41,42,42
Cloudenny,2,4,4,4,4,4,4,4
Coffeegirl176,3,10,10,10,10,9,10,10
Cogs-and-Gears,44,47,47,47,47,46,47,47
Colettep14804,1,4,4,4,4,4,4,4
Colleen304,1,1,1,1,1,1,1,1
Columbyne,34,35,35,35,35,30,35,35
Concussed,1,1,1,1,1,0,1,1
Confetti92,2,2,2,2,2,2,2,2
Connaid,1,1,1,1,1,1,1,1
CookieMonster,1,2,2,2,2,2,2,2
Copinesetlaines,2,3,3,3,3,2,3,3
Coquelico,1,3,3,3,3,3,3,3
Coriacea,0,6,6,6,6,5,6,6
Corinna18,1,2,2,2,2,2,2,2
Corinne1967,7,9,9,9,9,9,9,9
CorinneTricotine,13,17,17,17,17,15,17,17
Coskey,1,3,3,3,3,3,3,3
Cotelle,2,2,2,2,2,2,2,2
CottageChica,9,11,11,11,11,10,11,11
CottontailCrystal,2,2,2,2,2,1,2,2
CraftsCreator,1,2,2,2,2,2,2,2
CraftyGallie,0,1,1,1,1,1,1,1
CrazyObsessed,0,2,2,2,2,2,2,2
CreatingLaura,1,2,2,2,2,2,2,2
Creator,5,7,7,7,7,7,7,7
Crimmy,1,1,1,1,1,1,1,1
Crisalino,1,1,1,1,1,1,1,1
CrochEtCetera,11,11,11,11,11,11,11,11
Cryssie452,7,9,9,9,9,8,9,9
CuddleBear,8,12,12,12,12,11,12,12
Culrain,4,4,4,4,4,4,4,4
CulturalMarxist,7,8,8,8,8,8,8,8
Cunningbee,13,21,21,21,21,21,21,21
Curlewcall,2,3,3,3,3,3,3,3
Curly7,54,62,62,62,62,56,62,62
Curt,18,112,112,112,112,106,112,112
Cute1234,0,1,1,1,1,1,1,1
Cyanthus,37,41,41,41,41,40,41,41
Cyortonic,0,1,1,1,1,1,1,1
CyraEm,9,9,9,9,9,8,9,9
Cyzaki,0,2,2,2,2,2,2,2
DCTed,13,17,17,17,17,17,17,17
DFarmer,2,2,2,2,2,2,2,2
DKA,57,92,92,92,92,86,92,92
DLHaskett,1,2,2,2,2,2,2,2
DLouisos,1,1,1,1,1,1,1,1
DaKnitta,3,7,7,7,7,7,7,7
DaShizknit,119,120,120,120,120,119,120,120
Dabba55,5,6,6,6,6,6,6,6
DachsPugsGal,56,62,62,62,62,62,62,62
Daffydell,5,5,5,5,5,5,5,5
DaleJ,3,4,4,4,4,4,4,4
Dallasknot,10,10,10,10,10,9,10,10
Danamuky,3,3,3,3,3,3,3,3
DaniHD,2,2,2,2,2,2,2,2
Danno90,0,1,1,1,1,0,1,1
Darkavengernu,1,1,1,1,1,1,1,1
Darlingdaring,1,1,1,1,1,1,1,1
Dastierchen,1,2,2,2,2,2,2,2
DavidThePaganYogi,11,17,17,17,17,15,17,17
DawnCheatle,49,51,51,51,51,48,51,51
DebbieMazzola,1,2,2,2,2,2,2,2
DebbieZero,46,72,72,72,72,51,72,72
Debbieonravelry,8,8,8,8,8,8,8,8
Debnoble,1,1,1,1,1,1,1,1
Debora19,5,6,6,6,6,5,6,6
Deeaclv,2,4,4,4,4,4,4,4
Deepfriedbeauty,4,4,4,4,4,4,4,4
Deirdriu,3,4,4,4,4,4,4,4
Delphis28,1,1,1,1,1,1,1,1
Dendiane,49,54,54,54,54,53,54,54
DeniseL2KB,1,1,1,1,1,1,1,1
DeplorableSavage,2,5,4,5,5,5,5,5
Desdemina,16,19,19,19,19,18,19,19
DesertbloomMP,4,4,4,4,4,3,4,4
DevilRum,43,52,50,52,52,51,52,52
DeviousKnitter,11,12,12,12,12,8,12,12
DianaU,4,8,8,8,8,7,8,8
DianeFother,1,1,1,1,1,1,1,1
DionneS,70,70,70,70,70,66,70,70
Disney247,0,1,1,1,1,1,1,1
Ditaki,5,9,9,9,9,8,9,9
Djoolz,6,6,6,6,6,5,6,6
Djpatterns77,4,5,4,5,5,5,5,5
Dlarson126,0,1,1,1,1,1,1,1
Dollydressmaker,15,28,25,28,28,17,28,28
Domi85,5,7,7,7,7,3,7,7
Donna-Knits,92,96,96,96,96,95,96,96
DonnaFleming280,8,15,15,15,15,13,15,15
DonnaSi,3,7,7,7,7,7,7,7
DoriBee,3,4,4,4,4,4,4,4
Dorotheebis,1,8,8,8,8,7,8,8
DoubleBee,1,1,1,1,1,1,1,1
DoubleBind,45,63,63,63,63,62,63,63
DrDuchess3,69,75,74,75,75,73,75,75
DrLindz19,2,2,2,2,2,2,2,2
Dreamknitgirl,250,276,276,276,276,268,276,276
Drodske,73,86,86,86,86,76,86,86
Drood,21,21,21,21,21,21,21,21
Drucilla,350,355,355,355,355,351,355,355
Duckylogic,11,11,11,11,11,10,11,11
Duquesmom,53,57,57,57,57,57,57,57
DutchWoolDiva,30,46,46,46,46,42,46,46
Dutchy,17,29,29,29,29,27,29,29
Dvashah,23,24,24,24,24,22,24,24
Dyelady24,91,135,135,135,135,128,135,135
Dzinghis,49,51,51,51,51,42,51,51
EBoug,0,1,0,1,1,1,1,1
EMEagle,1,1,1,1,1,1,1,1
EZknitsit,305,306,306,306,306,302,306,306
Eav,6,6,6,6,6,6,6,6
Edlitham,5,11,11,11,11,11,11,11
EelPie,1,1,1,1,1,1,1,1
Eeloo,7,10,10,10,10,8,10,10
Efisher89,1,1,1,1,1,1,1,1
Eilonwy,3,6,6,6,6,4,6,6
Ejfeuer,1,1,1,1,1,1,1,1
Ekreading1,23,23,23,23,23,23,23,23
Elchholz,22,26,26,26,26,21,26,26
EleanorG,8,8,8,8,8,8,8,8
Elebelle,182,182,182,182,182,178,182,182
ElectricDaisy,42,45,45,45,45,44,45,45
Elemmaciltur,88,110,110,110,110,107,110,110
Eleniak,2,2,2,2,2,2,2,2
ElinelleSurLeFil,10,10,10,10,10,10,10,10
ElizabethP37,62,66,66,66,66,64,66,66
ElizabethWiz,1,1,1,1,1,1,1,1
Elizar,26,38,38,38,38,36,38,38
Eljay430,103,108,108,108,108,103,108,108
Ellesjo,10,13,13,13,13,13,13,13
EllieCDesign,118,177,149,177,177,128,177,177
Elliesmum,24,27,27,27,27,27,27,27
Eln,3,3,3,3,3,3,3,3
Elodie94,2,3,3,3,3,2,3,3
Elsebeth,30,40,40,40,40,39,40,40
Elskin,6,6,6,6,6,6,6,6
Embeca,72,74,74,74,74,74,74,74
Emily3on23,40,48,48,48,48,47,48,48
EmilyDee,1,1,1,1,1,1,1,1
EmilyVictoria,87,96,96,96,96,90,96,96
EmilyWright96,5,5,5,5,5,5,5,5
EmmeJo,5,6,6,6,6,6,6,6
EmmeleneKnits,4,7,7,7,7,7,7,7
Emmykaye03,1,1,1,1,1,1,1,1
EndlessQuiver,57,60,60,60,60,58,60,60
EricaT,5,24,24,24,24,23,24,24
Erifor,28,30,30,30,30,30,30,30
Erin-Jean,2,2,2,2,2,1,2,2
ErinKMay,1,2,1,2,2,2,2,2
Eroana,1,1,1,1,1,1,1,1
ErynG,1,4,4,4,4,4,4,4
EssentialyJenn,0,1,1,1,1,1,1,1
Esss,23,29,29,29,29,28,29,29
Estelaar,1,1,1,1,1,1,1,1
EvaDress,1,1,1,1,1,0,1,1
EvansMeXo,1,1,1,1,1,1,1,1
EverythingJane,2,2,2,2,2,2,2,2
EveyBee120,2,2,2,2,2,2,2,2
EvilEmpress,0,1,1,1,1,1,1,1
Evtum,1,1,1,1,1,1,1,1
EweAndYarn,2,2,2,2,2,2,2,2
EzraDC,3,3,3,3,3,3,3,3
FBT,4,5,5,5,5,4,5,5
Fadenwerk15,1,1,1,1,1,1,1,1
Fafulek77,6,6,6,6,6,5,6,6
FairyGirlJenn,2,6,6,6,6,6,6,6
Faline-,38,40,40,40,40,32,40,40
FallingRain,46,46,46,46,46,46,46,46
Familiarsquid,1,1,1,1,1,1,1,1
FancyK500,1,1,1,1,1,0,1,1
Fangchin,0,1,1,1,1,1,1,1
Fanniepie,24,26,26,26,26,26,26,26
Fannouche,1,4,4,4,4,1,4,4
FannyYatw,0,1,1,1,1,0,1,1
Fauli,19,22,22,22,22,21,22,22
FeelFreeKnits,34,36,36,36,36,30,36,36
Feltergirl,4,5,5,5,5,5,5,5
Fendust,3,6,6,6,6,6,6,6
Fernistica,2,2,2,2,2,2,2,2
Fete,2,8,7,8,8,6,8,8
Fetka,2,2,2,2,2,2,2,2
FiberCats,8,8,8,8,8,7,8,8
FiberHappy,2,3,3,3,3,3,3,3
Fictionallisa,0,1,1,1,1,1,1,1
FictrixKnitz,29,44,43,44,44,44,44,44
Fiefiem,6,10,10,10,10,8,10,10
Fiicus,0,1,1,1,1,1,1,1
FionaAmstutz,0,1,0,1,1,1,1,1
FionaFae,93,100,100,100,100,97,100,100
Firefly26knits,30,31,31,31,31,26,31,31
Flakita,0,2,2,2,2,2,2,2
Fleagirl,4,5,5,5,5,5,5,5
FlerDeLis,1,1,1,1,1,1,1,1
FloraofLorien,1,1,1,1,1,1,1,1
FlowersW,42,49,49,49,49,47,49,49
FluffAndYarnStuff,1,1,1,1,1,1,1,1
FlyingNeedlesVA,29,39,39,39,39,38,39,39
Footprints500,3,3,3,3,3,2,3,3
ForagingKnitter,1,4,4,4,4,2,4,4
ForeverStitches,3,4,4,4,4,3,4,4
Fortiori,3,8,8,8,8,8,8,8
FoxKnits,76,77,77,77,77,76,77,77
FrauHammer,0,4,4,4,4,4,4,4
FrazzleDazzle,6,14,14,14,14,14,14,14
FreckledCrafts,119,127,127,127,127,124,127,127
FreesiaSmile,4,7,7,7,7,7,7,7
FreyaLillieCrafts,3,4,4,4,4,3,4,4
FrillyDaisy,2,2,2,2,2,2,2,2
FrlRiechFein,1,36,36,36,36,35,36,36
Frogandprince,2,2,2,2,2,1,2,2
FrokenNormal,18,18,18,18,18,18,18,18
FruIngvild,3,3,3,3,3,3,3,3
FruityFibre,15,19,19,19,19,18,19,19
Funkyjunk31,14,16,16,16,16,16,16,16
FuschiaJoy,9,11,11,11,11,11,11,11
Fuszette,1,2,1,2,2,1,2,2
Fuzzcloud08,1,1,1,1,1,1,1,1
Fuzzybutt-stables,2,3,3,3,3,3,3,3
Gabelaine,2,2,2,2,2,2,2,2
GabiMonster,52,59,59,59,59,55,59,59
GabiVonSchade,14,16,16,16,16,15,16,16
GabrielaMR,10,10,10,10,10,10,10,10
GalianoGal,0,9,7,9,9,9,9,9
GareBearKnits,2,2,2,2,2,2,2,2
Gavia,1,1,1,1,1,1,1,1
GeeCassandra,45,66,66,66,66,66,66,66
GeekyGram,1,2,2,2,2,2,2,2
GemHB,0,4,4,4,4,4,4,4
Geora,98,99,99,99,99,92,99,99
Georgk2872,61,67,67,67,67,65,67,67
GetCosy,2,3,3,3,3,2,3,3
Gggrrl,36,42,42,42,42,39,42,42
Gibel12,0,1,1,1,1,1,1,1
GinOak,1,5,5,5,5,5,5,5
Ginger72,36,41,41,41,41,38,41,41
Gingerninja84,0,1,1,1,1,1,1,1
Gingersnaplatte,35,54,52,54,54,54,54,54
Gingersnaps,41,61,61,61,61,60,61,61
Ginmars1,1,1,1,1,1,1,1,1
GirlIncognito,5,9,9,9,9,9,9,9
GirlieKnitter,2,2,2,2,2,2,2,2
Gjcoffey,4,4,4,4,4,4,4,4
GlassClaire,1,10,10,10,10,9,10,10
GnaS,23,27,27,27,27,27,27,27
Gnmartin13,21,21,21,21,21,19,21,21
Goldentax,13,13,13,13,13,7,13,13
GonnaKnitYouSucka,1,2,2,2,2,2,2,2
GoodGothGirl,32,45,45,45,45,41,45,45
Goodenoughforme,7,7,7,7,7,5,7,7
Goolie,19,23,23,23,23,23,23,23
GosiaCz80,3,3,3,3,3,3,3,3
Gosvigme,1,2,2,2,2,2,2,2
Gottaluvthecacti,4,7,7,7,7,7,7,7
Gracetherese,5,7,7,7,7,6,7,7
Graciepurls2,44,48,48,48,48,48,48,48
GrandmaGerry,1,3,3,3,3,2,3,3
Grautxi,2,2,2,2,2,2,2,2
GreenIsleGal,5,6,5,6,6,6,6,6
GretaEklund,51,52,52,52,52,48,52,52
GretchenMargarita,30,44,44,44,44,43,44,44
GretchenSolitude,5,5,5,5,5,3,5,5
GreyDrizzle,43,53,53,53,53,51,53,53
GruGru,54,54,54,54,54,23,54,54
Gullklump,9,12,12,12,12,9,12,12
Gweidlich,3,3,3,3,3,2,3,3
HKClaire,66,81,81,81,81,77,81,81
HRHPersephone,7,8,8,8,8,6,8,8
HaleyJF,1,1,1,1,1,0,1,1
HandSoOnKnits,107,110,110,110,110,101,110,110
HankInKnots,3,4,4,4,4,3,4,4
HanneHolmAndersen,1,1,1,1,1,1,1,1
Hanrrieth,4,5,5,5,5,5,5,5
HappyHands,19,19,19,19,19,19,19,19
Happylunecorbeau,73,94,94,94,94,84,94,94
Harask,2,3,3,3,3,3,3,3
Hayden1978,3,3,3,3,3,2,3,3
Heddylynn,3,4,4,4,4,4,4,4
HeidiKaestner,26,36,35,36,36,25,36,36
HeidiMae,2,3,3,3,3,3,3,3
Helara,1,1,1,1,1,1,1,1
HelenLeanne,1,1,1,1,1,1,1,1
HeleneEssiambre,1,1,1,1,1,1,1,1
HeliR,1,1,1,1,1,0,1,1
Hennilotte,54,56,56,56,56,53,56,56
HenriettaSh,1,1,1,1,1,1,1,1
Heptonstall,82,82,82,82,82,76,82,82
HereFishey,3,4,4,4,4,3,4,4
HeyWray,6,6,6,6,6,6,6,6
Heylor,73,79,79,79,79,55,79,79
HiMountain,28,30,30,30,30,29,30,30
